Image Index,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
252,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.38180262
252,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,,0.43084532
252,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.38980114
252,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,,0.43117163
252,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.43126088
252,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,,0.44039372
252,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.4362349
252,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,,0.42237213
252,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.45031503
252,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,,0.436283
252,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.45910606
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,0.33570385
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.33517113
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,0.31509215
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.33881462
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,,0.31866962
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.37426883
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,,0.30649143
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.3646623
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,,0.28486902
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.2849086
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,,0.19745424
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.30208504
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,,0.31086016
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.3729216
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,,0.29921496
252,VGG11,Imagenettewoof,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.3463055
253,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,,0.10163194
253,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.101473644
253,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,,0.08586452
253,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.10891619
253,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,,0.10873648
253,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.106549315
253,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,,0.13147004
253,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.107136056
253,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,,0.08983625
253,VGG11,Imagenettewoof,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.089817695
253,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,,0.07291086
253,VGG11,Imagenettewoof,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.09386491
253,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,,0.120235614
253,VGG11,Imagenettewoof,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.18062654
253,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,,0.093319125
253,VGG11,Imagenettewoof,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.13387062
253,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,,0.089657806
253,VGG11,Imagenettewoof,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.08968629
253,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,,0.080355845
253,VGG11,Imagenettewoof,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.10728933
