Image Index,Model,Dataset,Attribution Method,Layer,Metric,Upscale Method,Mixing Method,Value
2,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.080547325
2,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,None,-0.03053094
2,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.11156911
2,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,None,0.020259649
2,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.097444266
2,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,None,0.084731236
2,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.08158463
3,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,None,0.06726596
3,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.06675927
3,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,None,0.027646549
3,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.081421874
3,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,None,0.032482654
3,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.054553397
3,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,None,0.019341331
3,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.02564133
3,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,None,0.089024074
3,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.08995812
3,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,None,0.082044855
3,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.070375085
3,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,None,0.07228311
3,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.10546225
3,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,None,0.053532265
3,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.13427402
3,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,None,0.032884642
3,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.032859843
3,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,None,0.0020125206
3,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.0012772306
3,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,None,-0.0021537007
3,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.0032900763
3,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,None,0.0034440127
3,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,-0.0027537826
3,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,None,0.0010581766
3,VGG11,PascalVOC,GradCAMPlusPlus,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.001056686
3,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,None,-0.0011409661
3,VGG11,PascalVOC,GradCAMPlusPlus,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.0018233375
3,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,None,0.0080346335
3,VGG11,PascalVOC,GradCAMPlusPlus,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.01235831
3,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,None,0.0032464748
3,VGG11,PascalVOC,GradCAMPlusPlus,features.5,road_combined,bilinearUpsampling,MultiplierMix,0.0038315665
4,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,None,0.2816952
4,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,ERFUpsamplingFast,MultiplierMix,0.28006342
4,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,None,0.25318363
4,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,ERFUpsamplingFast,MultiplierMix,0.2804317
4,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,None,0.25525773
4,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,ERFUpsamplingFast,MultiplierMix,0.32146296
4,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,None,0.30070132
4,VGG11,PascalVOC,DeepLiftShap8,features.5,road_combined,ERFUpsamplingFast,MultiplierMix,0.37097687
4,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,None,0.4072904
4,VGG11,PascalVOC,DeepLiftShap8,features.20,road_combined,bilinearUpsampling,MultiplierMix,0.40693864
4,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,None,0.40905565
4,VGG11,PascalVOC,DeepLiftShap8,features.15,road_combined,bilinearUpsampling,MultiplierMix,0.4514667
4,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,None,0.4004556
4,VGG11,PascalVOC,DeepLiftShap8,features.10,road_combined,bilinearUpsampling,MultiplierMix,0.46527267
