Image Index,Model,Attribution Method,Layer,Metric,Upscale Method,Value
57,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.0008346512913703918
58,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.4053718696925651
58,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.011969243176281452
59,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.14808746136015544
59,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.10284524410963058
60,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5365376871971163
60,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.08781975507736206
61,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.17174300102191448
61,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.18175551295280457
62,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.29944075234351436
62,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0012746829306706786
63,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.34672382611494157
63,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.06818828731775284
64,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10652055687777806
64,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.002570016775280237
65,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.07003140067277767
65,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0018971048993989825
66,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.28891068521133384
66,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.044991135597229004
67,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.24185344148807797
67,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.0003352612257003784
68,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.29915910296209924
68,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.30415964126586914
69,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2671651828674077
69,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.12960690259933472
70,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.40630244631026546
70,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.00039138257852755487
71,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.12663506483807202
71,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.01123324129730463
72,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2139624996706633
72,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.03147542476654053
73,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.17917783851388838
73,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.2275153249502182
74,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.8693049217045759
74,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.0029392465949058533
75,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.411737501633254
75,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0020547565072774887
76,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.0832040736165466
76,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.16078126430511475
77,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.30377625056978247
77,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.00014499298413284123
78,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.1938858299507704
78,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.006972949486225843
79,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3016103683211306
79,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.20123521983623505
80,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.7149669094210295
80,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.013064962811768055
81,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.17733476214054228
81,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.007799734361469746
82,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.19350125499410886
82,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.19456706941127777
83,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.15077001608935
83,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.08985647559165955
84,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3928425707952321
84,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.002172062173485756
85,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.23843433421279056
85,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.1276099681854248
86,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.22368905388827065
86,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0071805864572525024
87,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.32612219204905823
87,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.22550514340400696
88,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10950618370526836
88,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.12353058904409409
89,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.22907587714224933
89,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0015211455756798387
90,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3642648115743214
90,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.13108716905117035
91,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.14289026777208474
91,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.12896542251110077
92,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3989266824668296
92,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.24672061204910278
93,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.19185431442308537
93,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.007469020783901215
94,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.07639171833299789
94,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0020019959192723036
95,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.09738305000886807
95,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.18610841035842896
96,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.4021151079021862
96,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-1.333226009592181e-07
97,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.11455096916448297
97,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.1467861533164978
98,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.4298206053483217
98,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.01633436791598797
99,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.218629468561518
99,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.06471133977174759
100,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.15965631797561702
100,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.13473725318908691
101,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.2061614103839271
101,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.01624373346567154
102,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.15888599132061346
102,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.2322799265384674
103,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.16529047462532442
103,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.0029089748859405518
104,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.11159078725375102
104,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0025008395314216614
105,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.14619420904359876
105,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.014655754901468754
106,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5879599569578845
106,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.007586571853607893
107,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.22035063257677828
107,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.019600287079811096
108,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.13462894311792523
108,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.00677581038326025
109,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.47435043256488174
109,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.017833486199378967
110,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.04690723307631267
110,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.16675618290901184
111,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.127853148067884
111,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0875890925526619
112,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.3922293609545505
112,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.006286019459366798
113,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.11556854422838986
113,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.00048253685235977173
114,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10937248425044149
114,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.11002904176712036
115,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.26333667685216045
115,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.003216780722141266
116,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.6025246301964367
116,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.006952248979359865
117,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5734768649564362
117,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-5.3126892453292385e-05
118,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.05759086682074283
118,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.10163849592208862
119,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10505281617248917
119,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.2787098288536072
120,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.08800554988225372
120,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.018309932202100754
121,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.1973732691079329
121,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0023235774133354425
122,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.5141669519494786
122,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,-0.0021881437860429287
123,VGG11,_GradCAMPlusPlus,features.10,roc_auc,ERFUpsamplingFast,0.10965789249788799
123,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.14003115892410278
